Longitude,Latitude,Mammal,bio_1,bio_2,bio_3,bio_4,bio_5,bio_6,bio_7,bio_8,bio_9,bio_10,bio_11,bio_12,bio_13,bio_14,bio_15,bio_16,bio_17,bio_18,bio_19,Mean.Elevation,SD.Elevation
35,45,133,95.07838795,88.37865368,26.79450841,8606.513729,268.6014172,-59.06465899,327.6660762,149.6842338,72.10761736,203.7187777,-15.27812223,557.7081488,68.44774136,29.80513729,24.39105403,182.8689105,103.3901683,147.911426,147.8108946,330.0225684,465.9227389
45,45,161,88.75922101,98.65181469,26.51283564,9705.83712,285.4989672,-85.33903806,370.8380053,169.5910298,5.168781351,211.0675716,-36.20330481,473.7217468,61.67512541,23.39746238,27.47654175,165.2673355,78.56299793,143.7943346,92.15255238,459.8638188,781.3040253
55,45,116,101.748924,111.5684362,24.64246772,11934.9142,336.2814921,-109.1532281,445.4347202,92.70043042,145.9718795,252.4106169,-52.21291248,158.9629842,19.88895265,7.291248207,31.04591105,53.57675753,25.99799139,30.65050215,38.8286944,87.20013319,102.7385658
65,45,108,94.86694444,120.3991667,25.63805556,12314.03833,338.5175,-125.9072222,464.4247222,79.91083333,173.1141667,248.6361111,-66.86138889,181.0966667,25.91,4.934444444,43.89583333,67.76888889,18.69472222,23.48916667,54.20722222,227.2843819,188.3284481
75,45,139,48.26972222,115.2786111,25.39333333,11770.94778,273.4952778,-173.7680556,447.2633333,118.3033333,29.62833333,191.9638889,-109.8852778,287.4736111,42.19694444,9.5775,41.36916667,112.8066667,36.80611111,75.36,54.76305556,1131.043834,1028.414176
85,45,146,41.32972222,124.9358333,26.06361111,12458.54028,268.8883333,-201.9772222,470.8655556,172.0555556,-104.0638889,189.5722222,-129.5761111,221.2091667,36.99111111,6.498611111,59.60888889,98.59,22.93472222,93.77472222,25.70277778,1298.528532,910.0936453
95,45,137,22.87277778,143.2777778,28.29888889,12955.54139,259.8697222,-240.6436111,500.5133333,179.8625,-127.8308333,180.0077778,-152.8861111,112.1927778,30.40083333,1.135833333,92.65805556,72.66611111,4.788611111,72.665,5.003611111,1597.928079,605.4155662
105,45,128,25.27111111,137.7966667,27.61138889,12877.66611,261.2377778,-229.8969444,491.1347222,182.7675,-135.4205556,183.6572222,-148.2411111,186.1580556,53.34916667,1.320555556,108.2483333,129.9352778,5.056111111,129.7569444,5.116944444,1363.109385,350.8506265
115,45,141,19.31833333,132.2236111,25.66388889,13662.04778,262.6377778,-244.4169444,507.0547222,185.9263889,-158.8916667,186.4522222,-165.9105556,304.1736111,89.335,2.115833333,109.6888889,210.1863889,7.606944444,210.1211111,7.628333333,1011.025211,309.501639
125,45,113,30.61760543,123.8208322,24.02264365,13738.20011,264.1089725,-242.7540334,506.8630059,196.9048967,-156.5318426,197.0670818,-157.6246816,591.3014435,161.9702802,4.926691197,104.7039343,384.8703651,17.50382112,384.7200679,17.51316162,407.6441745,321.0982249
135,45,111,13.68696884,102.3465534,21.101983,13244.00614,236.6751653,-238.7710104,475.4461756,170.7629839,-163.9098206,172.1104816,-168.6411709,726.2851747,143.1680831,11.78234183,74.60764873,373.2563739,43.90651558,372.0094429,44.48394712,343.3295368,296.2366114
145,45,94,44.01006289,75.53584906,21.13207547,9456.969811,215.2465409,-133.9937107,349.2402516,140.0025157,-53.04654088,162.7496855,-79.87672956,1123.255346,150.3660377,51.93207547,33.03018868,403.8113208,173.7496855,390.1660377,205.6100629,275.6834297,262.7998291
155,45,8,16.18367347,53.46938776,24.06122449,5596.591837,121.0408163,-98.2244898,219.2653061,71.24489796,-55.34693878,90.44897959,-55.34693878,1499.734694,184.3673469,77.20408163,25.83673469,508.3673469,274.3265306,444.1020408,274.3265306,264.1193428,238.3607589
-125,35,129,136.138833,146.028169,50.138833,5224.949698,304.0482897,10.60160966,293.4466801,75.70020121,202.195171,203.8993964,72.69416499,707.2595573,137.804829,2.195171026,84.07444668,368.1006036,13.31991952,18.38832998,364.6096579,503.5226553,565.9144115
-115,35,217,139.3880837,159.4222222,43.76586151,7291.762963,335.6518519,-28.4173913,364.0692432,148.1017713,168.9114332,235.5761675,49.71272142,281.2241546,45.02866345,7.068276973,47.38486312,115.8096618,29.54396135,66.40193237,91.43027375,1256.489974,735.8886365
-105,35,197,119.5961111,168.5755556,42.83305556,7935.830556,317.1033333,-73.59888889,390.7022222,205.1661111,62.66361111,221.5775,17.49222222,399.6769444,68.3975,12.01194444,57.15805556,177.5483333,43.26527778,159.9219444,53.53083333,1554.881463,647.0018196
-95,35,114,156.3913889,131.4455556,35.40222222,8346.794167,336.8930556,-31.97944444,368.8725,195.0433333,96.50444444,260.3597222,44.35138889,1033.520833,127.1183333,48.76194444,30.02805556,335.6947222,172.2344444,268.2883333,197.6322222,261.9070022,174.3310897
-85,35,87,149.2219351,128.4840655,37.87855297,7634.205857,313.9758829,-23.32644272,337.3023256,163.8814241,140.4366925,243.904967,46.86792995,1282.792707,141.0620155,74.14900947,18.18662073,388.5073213,252.2483491,342.93942,319.6313523,225.2903101,198.5996277
-75,35,78,138.7353516,121.3671875,35.67773438,7786.332031,305.1103516,-30.71386719,335.8242188,229.9277344,71.66699219,236.5507813,35.47851563,1147.308594,125.4023438,74.50683594,15.66601563,347.4707031,239.7636719,343.6289063,256.8720703,158.1049805,221.1941633
-65,35,1,215.75,54.25,34.5,3633.25,299.25,144.5,154.75,255.75,190.75,264.75,172.5,1482.25,164.5,96.25,13.75,436,316.75,391.25,360,13.74489796,11.40836302
-35,35,4,168.4,46.4,32.8,3005.8,248.4,109.8,138.6,144.2,203.2,211.6,134,1420.4,206.2,54.6,37.6,520.2,181,228.6,484,314.0245614,236.5690563
